,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
94,1.7999999999999998,,1.7999999999999998,,1.7999999999999998,,,,,,,,1.7999999999999998,,1.7999999999999998,,1.7999999999999998,,1.7999999999999998,
95,1.8199999999999998,,1.8199999999999998,,1.8199999999999998,,,,,,,,1.8199999999999998,,1.8199999999999998,,1.8199999999999998,,1.8199999999999998,
96,1.8399999999999999,,1.8399999999999999,,1.8399999999999999,,,,,,,,1.8399999999999999,,1.8399999999999999,,,,1.8399999999999999,
97,1.8599999999999999,,1.8599999999999999,,1.8599999999999999,,,,,,,,1.8599999999999999,,1.8599999999999999,,,,1.8599999999999999,
98,1.88,,1.88,,,,,,,,,,1.88,,1.88,,,,1.88,
99,1.9,,1.9,,,,,,,,,,1.9,,1.9,,,,1.9,
100,1.92,,1.92,,,,,,,,,,1.92,,1.92,,,,1.92,
101,1.94,,1.94,,,,,,,,,,1.94,,,,,,1.94,
102,1.96,,1.96,,,,,,,,,,1.96,,,,,,1.96,
103,,,1.98,,,,,,,,,,1.98,,,,,,1.98,
104,,,,,,,,,,,,,2.0,,,,,,2.0,
105,,,,,,,,,,,,,2.02,,,,,,2.02,
106,,,,,,,,,,,,,2.04,,,,,,,
107,,,,,,,,,,,,,2.06,,,,,,,
108,,,,,,,,,,,,,2.08,,,,,,,
109,,,,,,,,,,,,,2.1,,,,,,,
110,,,,,,,,,,,,,2.12,,,,,,,
