,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10,Time (s) Run #11,Position (m) Run #11
75,1.44,0.0,1.44,0.16,1.44,0.19,1.44,0.0,1.44,0.2,1.44,0.21,1.44,0.18,1.44,0.26,1.44,0.21,1.44,0.31,1.44,0.0
76,1.46,0.0,1.46,0.14,1.46,0.0,1.46,0.0,1.46,0.18,1.46,0.2,1.46,0.17,1.46,0.25,1.46,0.2,1.46,0.29,1.46,0.0
77,1.48,0.0,1.48,0.13,1.48,0.0,1.48,0.0,1.48,0.16,1.48,0.19,1.48,0.15,1.48,0.23,1.48,0.17,1.48,0.27,1.48,0.0
78,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.14,1.5,0.18,1.5,0.16,1.5,0.21,1.5,0.15,1.5,0.26,1.5,0.0
79,1.52,0.0,1.52,0.0,1.52,0.0,1.52,0.0,1.52,0.13,1.52,0.18,1.52,0.15,1.52,0.19,1.52,0.14,1.52,0.24,1.52,0.0
80,1.54,0.0,1.54,0.0,1.54,0.0,1.54,0.0,1.54,0.0,1.54,0.17,1.54,0.13,1.54,0.18,1.54,0.14,1.54,0.22,1.54,0.0
81,1.56,0.0,1.56,0.0,1.56,0.0,1.56,0.0,1.56,0.0,1.56,0.15,1.56,0.0,1.56,0.16,1.56,0.14,1.56,0.2,1.56,0.0
82,1.5799999999999998,0.0,1.5799999999999998,0.0,1.5799999999999998,0.0,1.5799999999999998,0.0,1.5799999999999998,0.0,1.5799999999999998,0.14,1.5799999999999998,0.0,1.5799999999999998,0.14,1.5799999999999998,0.14,1.5799999999999998,0.19,1.5799999999999998,0.0
83,1.5999999999999999,0.0,1.5999999999999999,0.0,1.5999999999999999,0.0,1.5999999999999999,0.0,1.5999999999999999,0.0,1.5999999999999999,0.13,1.5999999999999999,0.0,1.5999999999999999,0.13,1.5999999999999999,0.0,1.5999999999999999,0.17,1.5999999999999999,0.0
84,1.6199999999999999,0.0,1.6199999999999999,0.0,1.6199999999999999,0.0,1.6199999999999999,0.0,1.6199999999999999,0.0,1.6199999999999999,0.0,1.6199999999999999,0.0,1.6199999999999999,0.0,1.6199999999999999,0.0,1.6199999999999999,0.16,1.6199999999999999,0.0
85,1.64,0.0,1.64,0.0,1.64,0.0,1.64,0.0,1.64,0.0,1.64,0.0,1.64,0.0,1.64,0.0,1.64,0.0,1.64,0.14,1.64,0.0
86,1.66,0.0,1.66,0.0,1.66,0.0,1.66,0.0,1.66,0.0,1.66,0.0,1.66,0.0,1.66,0.0,1.66,0.0,1.66,0.13,1.66,0.0
87,1.68,0.0,1.68,0.0,1.68,0.0,1.68,0.0,1.68,0.0,1.68,0.0,1.68,0.0,1.68,0.0,1.68,0.0,1.68,0.13,1.68,0.0
